"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\1DV610\texttoolkit\src\TextDocument.js", "JavaScript", 47, 114, 29, 190
"e:\1DV610\texttoolkit\src\analyzers\TextAnalyzer.js", "JavaScript", 70, 52, 14, 136
"e:\1DV610\texttoolkit\src\formatters\TextFormatter.js", "JavaScript", 54, 33, 11, 98
"e:\1DV610\texttoolkit\src\index.js", "JavaScript", 15, 7, 5, 27
"e:\1DV610\texttoolkit\src\searchers\TextSearcher.js", "JavaScript", 59, 36, 10, 105
"e:\1DV610\texttoolkit\src\transformers\TextReverser.js", "JavaScript", 66, 49, 13, 128
"e:\1DV610\texttoolkit\src\transformers\TextTransformer.js", "JavaScript", 32, 31, 6, 69
"e:\1DV610\texttoolkit\src\utils\errors.js", "JavaScript", 42, 53, 3, 98
"e:\1DV610\texttoolkit\src\utils\inputValidation.js", "JavaScript", 31, 38, 8, 77
"Total", "-", 416, 413, 99, 928
