"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\1DV610\texttoolkit\src\TextDocument.js", "JavaScript", -68, -88, -1, -157
"e:\1DV610\texttoolkit\src\analyzers\TextAnalyzer.js", "JavaScript", 0, -38, 0, -38
"e:\1DV610\texttoolkit\src\formatters\TextFormatter.js", "JavaScript", 0, -50, 0, -50
"e:\1DV610\texttoolkit\src\searchers\TextSearcher.js", "JavaScript", 0, -14, 0, -14
"e:\1DV610\texttoolkit\src\transformers\TextReverser.js", "JavaScript", 0, -11, 0, -11
"e:\1DV610\texttoolkit\src\transformers\TextTransformer.js", "JavaScript", 0, -12, 0, -12
"e:\1DV610\texttoolkit\src\utils\errors.js", "JavaScript", 0, -8, 0, -8
"e:\1DV610\texttoolkit\src\utils\inputValidation.js", "JavaScript", 0, -9, 0, -9
"Total", "-", -68, -230, -1, -299
