"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\1DV610\texttoolkit\src\TextDocument.js", "JavaScript", 69, 97, 44, 210
"e:\1DV610\texttoolkit\src\analyzers\TextAnalyzer.js", "JavaScript", 71, 24, 16, 111
"e:\1DV610\texttoolkit\src\formatters\TextFormatter.js", "JavaScript", 75, 26, 19, 120
"e:\1DV610\texttoolkit\src\index.js", "JavaScript", 14, 7, 4, 25
"e:\1DV610\texttoolkit\src\searchers\TextSearcher.js", "JavaScript", 102, 65, 29, 196
"e:\1DV610\texttoolkit\src\transformers\TextReverser.js", "JavaScript", 93, 68, 23, 184
"e:\1DV610\texttoolkit\src\transformers\TextTransformer.js", "JavaScript", 85, 50, 13, 148
"e:\1DV610\texttoolkit\src\utils\errors.js", "JavaScript", 42, 45, 3, 90
"e:\1DV610\texttoolkit\src\utils\inputValidation.js", "JavaScript", 34, 34, 8, 76
"Total", "-", 585, 416, 159, 1160
